reaction,lb,ub
EX_MGlcn111_e_f,0,1000
EX_MGlcn111_e_r,0,1000
EX_MGlcn111__rl_e_f,0,1000
EX_MGlcn111__rl_e_r,0,1000
EX_MGlcn112_e_f,0,1000
EX_MGlcn112_e_r,0,1000
EX_MGlcn112__rl_e_f,0,1000
EX_MGlcn112__rl_e_r,0,1000
EX_MGlcn113_e_f,0,1000
EX_MGlcn113_e_r,0,1000
EX_MGlcn113__rl_e_f,0,1000
EX_MGlcn113__rl_e_r,0,1000
EX_MGlcn114_e_f,0,1000
EX_MGlcn114_e_r,0,1000
EX_MGlcn114__rl_e_f,0,1000
EX_MGlcn114__rl_e_r,0,1000
EX_MGlcn115_e_f,0,1000
EX_MGlcn115_e_r,0,1000
EX_MGlcn115__rl_e_f,0,1000
EX_MGlcn115__rl_e_r,0,1000
EX_MGlcn117_e_f,0,1000
EX_MGlcn117_e_r,0,1000
EX_MGlcn117__rl_e_f,0,1000
EX_MGlcn117__rl_e_r,0,1000
EX_MGlcn12_e_f,0,1000
EX_MGlcn12_e_r,0,1000
EX_MGlcn120_e_f,0,1000
EX_MGlcn120_e_r,0,1000
EX_MGlcn120__rl_e_f,0,1000
EX_MGlcn120__rl_e_r,0,1000
EX_MGlcn126_e_f,0,1000
EX_MGlcn126_e_r,0,1000
EX_MGlcn126__rl_e_f,0,1000
EX_MGlcn126__rl_e_r,0,1000
EX_MGlcn12__rl_e_f,0,1000
EX_MGlcn12__rl_e_r,0,1000
EX_MGlcn13_e_f,0,1000
EX_MGlcn13_e_r,0,1000
EX_MGlcn130_e_f,0,1000
EX_MGlcn130_e_r,0,1000
EX_MGlcn130__rl_e_f,0,1000
EX_MGlcn130__rl_e_r,0,1000
EX_MGlcn131_e_f,0,1000
EX_MGlcn131_e_r,0,1000
EX_MGlcn131__rl_e_f,0,1000
EX_MGlcn131__rl_e_r,0,1000
EX_MGlcn137_e_f,0,1000
EX_MGlcn137_e_r,0,1000
EX_MGlcn137__rl_e_f,0,1000
EX_MGlcn137__rl_e_r,0,1000
EX_MGlcn138_e_f,0,1000
EX_MGlcn138_e_r,0,1000
EX_MGlcn138__rl_e_f,0,1000
EX_MGlcn138__rl_e_r,0,1000
EX_MGlcn139_e_f,0,1000
EX_MGlcn139_e_r,0,1000
EX_MGlcn139__rl_e_f,0,1000
EX_MGlcn139__rl_e_r,0,1000
EX_MGlcn13__rl_e_f,0,1000
EX_MGlcn13__rl_e_r,0,1000
EX_MGlcn14_e_f,0,1000
EX_MGlcn14_e_r,0,1000
EX_MGlcn140_e_f,0,1000
EX_MGlcn140_e_r,0,1000
EX_MGlcn140__rl_e_f,0,1000
